# iteração	procurando	descanso	alvos_encontrados	energia
95	10	0	0	-856
96	10	0	0	-866
97	10	0	0	-876
98	10	0	0	-886
99	10	0	0	-896
100	10	0	0	-906
101	10	0	0	-916
102	10	0	0	-926
103	10	0	0	-936
104	10	0	0	-946
105	10	0	0	-956
106	10	0	0	-966
107	10	0	0	-976
108	10	0	0	-986
109	10	0	0	-996
110	10	0	0	-1006
111	10	0	0	-1016
112	10	0	0	-1026
113	10	0	0	-1036
114	10	0	0	-1046
115	10	0	0	-1056
116	10	0	0	-1066
117	10	0	0	-1076
118	10	0	0	-1086
119	10	0	0	-1096
120	10	0	0	-1106
121	10	0	0	-1116
122	10	0	0	-1126
123	10	0	0	-1136
124	10	0	0	-1146
125	10	0	0	-1156
126	10	0	0	-1166
127	10	0	0	-1176
128	10	0	0	-1186
129	10	0	0	-1196
130	10	0	0	-1206
131	10	0	0	-1216
132	10	0	0	-1226
133	10	0	0	-1236
134	10	0	0	-1246
135	10	0	0	-1256
136	10	0	0	-1266
137	10	0	0	-1276
138	10	0	0	-1286
139	10	0	0	-1296
140	10	0	0	-1306
141	10	0	0	-1316
142	10	0	0	-1326
143	10	0	0	-1336
144	10	0	0	-1346
145	10	0	0	-1356
146	10	0	0	-1366
147	10	0	0	-1376
148	10	0	0	-1386
149	10	0	0	-1396
150	10	0	0	-1406
151	10	0	0	-1416
152	10	0	0	-1426
153	10	0	0	-1436
154	10	0	0	-1446
155	10	0	0	-1456
156	10	0	0	-1466
157	10	0	0	-1476
158	10	0	0	-1486
159	10	0	0	-1496
160	10	0	0	-1506
161	10	0	0	-1516
162	10	0	0	-1526
163	10	0	0	-1536
164	10	0	0	-1546
165	10	0	0	-1556
166	10	0	0	-1566
167	10	0	0	-1576
168	10	0	0	-1586
169	10	0	0	-1596
170	10	0	0	-1606
171	10	0	0	-1616
172	10	0	0	-1626
173	10	0	0	-1636
174	10	0	0	-1646
175	10	0	0	-1656
176	10	0	0	-1666
177	10	0	0	-1676
178	10	0	0	-1686
179	10	0	0	-1696
180	10	0	0	-1706
181	10	0	0	-1716
182	10	0	0	-1726
183	10	0	0	-1736
184	10	0	0	-1746
185	10	0	0	-1756
186	10	0	0	-1766
187	10	0	0	-1776
188	10	0	0	-1786
189	10	0	0	-1796
190	10	0	0	-1806
191	10	0	0	-1816
192	10	0	0	-1826
193	10	0	0	-1836
194	10	0	0	-1846
195	10	0	0	-1856
196	10	0	0	-1866
197	10	0	0	-1876
198	10	0	0	-1886
199	10	0	0	-1896
200	10	0	0	-1906
201	10	0	0	-1916
202	10	0	0	-1926
203	10	0	0	-1936
204	10	0	0	-1946
205	10	0	0	-1956
206	10	0	0	-1966
207	10	0	0	-1976
208	10	0	0	-1986
209	10	0	0	-1996
210	10	0	0	-2006
211	10	0	0	-2016
212	10	0	0	-2026
213	10	0	0	-2036
214	10	0	0	-2046
215	10	0	0	-2056
216	10	0	0	-2066
217	10	0	0	-2076
218	10	0	0	-2086
219	10	0	0	-2096
220	10	0	0	-2106
221	10	0	0	-2116
222	10	0	0	-2126
223	10	0	0	-2136
224	10	0	0	-2146
225	10	0	0	-2156
226	10	0	0	-2166
227	10	0	0	-2176
228	10	0	0	-2186
229	10	0	0	-2196
230	10	0	0	-2206
231	10	0	0	-2216
232	10	0	0	-2226
233	10	0	0	-2236
234	10	0	0	-2246
235	10	0	0	-2256
236	10	0	0	-2266
237	10	0	0	-2276
238	10	0	0	-2286
239	10	0	0	-2296
240	10	0	0	-2306
241	10	0	0	-2316
242	10	0	0	-2326
243	10	0	0	-2336
244	10	0	0	-2346
245	10	0	0	-2356
246	10	0	0	-2366
247	10	0	0	-2376
248	10	0	0	-2386
249	10	0	0	-2396
250	10	0	0	-2406
251	10	0	0	-2416
252	10	0	0	-2426
253	10	0	0	-2436
254	10	0	0	-2446
255	10	0	0	-2456
256	10	0	0	-2466
257	10	0	0	-2476
258	10	0	0	-2486
259	10	0	0	-2496
260	10	0	0	-2506
261	10	0	0	-2516
262	10	0	0	-2526
263	10	0	0	-2536
264	10	0	0	-2546
265	10	0	0	-2556
266	10	0	0	-2566
267	10	0	0	-2576
268	10	0	0	-2586
269	10	0	0	-2596
270	10	0	0	-2606
271	10	0	0	-2616
272	10	0	0	-2626
273	10	0	0	-2636
274	10	0	0	-2646
275	10	0	0	-2656
276	10	0	0	-2666
277	10	0	0	-2676
278	10	0	0	-2686
279	10	0	0	-2696
280	10	0	0	-2706
281	10	0	0	-2716
282	10	0	0	-2726
283	10	0	0	-2736
284	10	0	0	-2746
285	10	0	0	-2756
286	10	0	0	-2766
287	10	0	0	-2776
288	10	0	0	-2786
289	10	0	0	-2796
290	10	0	0	-2806
291	10	0	0	-2816
292	10	0	0	-2826
293	10	0	0	-2836
294	10	0	0	-2846
295	10	0	0	-2856
296	10	0	0	-2866
297	10	0	0	-2876
298	10	0	0	-2886
299	10	0	0	-2896
300	10	0	0	-2906
301	10	0	0	-2916
302	10	0	0	-2926
303	10	0	0	-2936
304	10	0	0	-2946
305	10	0	0	-2956
306	10	0	0	-2966
307	10	0	0	-2976
308	10	0	0	-2986
309	10	0	0	-2996
310	10	0	0	-3006
311	10	0	0	-3016
312	10	0	0	-3026
313	10	0	0	-3036
314	10	0	0	-3046
315	10	0	0	-3056
316	10	0	0	-3066
317	10	0	0	-3076
318	10	0	0	-3086
319	10	0	0	-3096
320	10	0	0	-3106
321	10	0	0	-3116
322	10	0	0	-3126
323	10	0	0	-3136
324	10	0	0	-3146
325	10	0	0	-3156
326	10	0	0	-3166
327	10	0	0	-3176
328	10	0	0	-3186
329	10	0	0	-3196
330	10	0	0	-3206
331	10	0	0	-3216
332	10	0	0	-3226
333	10	0	0	-3236
334	10	0	0	-3246
335	10	0	0	-3256
336	10	0	0	-3266
337	10	0	0	-3276
338	10	0	0	-3286
339	10	0	0	-3296
340	10	0	0	-3306
341	10	0	0	-3316
342	10	0	0	-3326
343	10	0	0	-3336
344	10	0	0	-3346
345	10	0	0	-3356
346	10	0	0	-3366
347	10	0	0	-3376
348	10	0	0	-3386
349	10	0	0	-3396
350	10	0	0	-3406
351	10	0	0	-3416
352	10	0	0	-3426
353	10	0	0	-3436
354	10	0	0	-3446
355	10	0	0	-3456
356	10	0	0	-3466
357	10	0	0	-3476
358	10	0	0	-3486
359	10	0	0	-3496
360	10	0	0	-3506
361	10	0	0	-3516
362	10	0	0	-3526
363	10	0	0	-3536
364	10	0	0	-3546
365	10	0	0	-3556
366	10	0	0	-3566
367	10	0	0	-3576
368	10	0	0	-3586
369	10	0	0	-3596
370	10	0	0	-3606
371	10	0	0	-3616
372	10	0	0	-3626
373	10	0	0	-3636
374	10	0	0	-3646
375	10	0	0	-3656
376	10	0	0	-3666
377	10	0	0	-3676
378	10	0	0	-3686
379	10	0	0	-3696
380	10	0	0	-3706
381	10	0	0	-3716
382	10	0	0	-3726
383	10	0	0	-3736
384	10	0	0	-3746
385	10	0	0	-3756
386	10	0	0	-3766
387	10	0	0	-3776
388	10	0	0	-3786
389	10	0	0	-3796
390	10	0	0	-3806
391	10	0	0	-3816
392	10	0	0	-3826
393	10	0	0	-3836
394	10	0	0	-3846
395	10	0	0	-3856
396	10	0	0	-3866
397	10	0	0	-3876
398	10	0	0	-3886
399	10	0	0	-3896
400	10	0	0	-3906
401	10	0	0	-3916
402	10	0	0	-3926
403	10	0	0	-3936
404	10	0	0	-3946
405	10	0	0	-3956
406	10	0	0	-3966
407	10	0	0	-3976
408	10	0	0	-3986
409	10	0	0	-3996
410	10	0	0	-4006
411	10	0	0	-4016
412	10	0	0	-4026
413	10	0	0	-4036
414	10	0	0	-4046
415	10	0	0	-4056
416	10	0	0	-4066
417	10	0	0	-4076
418	10	0	0	-4086
419	10	0	0	-4096
420	10	0	0	-4106
421	10	0	0	-4116
422	10	0	0	-4126
423	10	0	0	-4136
424	10	0	0	-4146
425	10	0	0	-4156
426	10	0	0	-4166
427	10	0	0	-4176
428	10	0	0	-4186
429	10	0	0	-4196
430	10	0	0	-4206
431	10	0	0	-4216
432	10	0	0	-4226
433	10	0	0	-4236
434	10	0	0	-4246
435	10	0	0	-4256
436	10	0	0	-4266
437	10	0	0	-4276
438	10	0	0	-4286
439	10	0	0	-4296
440	10	0	0	-4306
441	10	0	0	-4316
442	10	0	0	-4326
443	10	0	0	-4336
444	10	0	0	-4346
445	10	0	0	-4356
446	10	0	0	-4366
447	10	0	0	-4376
448	10	0	0	-4386
449	10	0	0	-4396
450	10	0	0	-4406
451	10	0	0	-4416
452	10	0	0	-4426
453	10	0	0	-4436
454	10	0	0	-4446
455	10	0	0	-4456
456	10	0	0	-4466
457	10	0	0	-4476
458	10	0	0	-4486
459	10	0	0	-4496
460	10	0	0	-4506
461	10	0	0	-4516
462	10	0	0	-4526
463	10	0	0	-4536
464	10	0	0	-4546
465	10	0	0	-4556
466	10	0	0	-4566
467	10	0	0	-4576
468	10	0	0	-4586
469	10	0	0	-4596
470	10	0	0	-4606
471	10	0	0	-4616
472	10	0	0	-4626
473	10	0	0	-4636
474	10	0	0	-4646
475	10	0	0	-4656
476	10	0	0	-4666
477	10	0	0	-4676
478	10	0	0	-4686
479	10	0	0	-4696
480	10	0	0	-4706
481	10	0	0	-4716
482	10	0	0	-4726
483	10	0	0	-4736
484	10	0	0	-4746
485	10	0	0	-4756
486	10	0	0	-4766
487	10	0	0	-4776
488	10	0	0	-4786
489	10	0	0	-4796
490	10	0	0	-4806
491	10	0	0	-4816
492	10	0	0	-4826
493	10	0	0	-4836
494	10	0	0	-4846
495	10	0	0	-4856
496	10	0	0	-4866
497	10	0	0	-4876
498	10	0	0	-4886
499	10	0	0	-4896
500	10	0	0	-4906
501	10	0	0	-4916
502	10	0	0	-4926
503	10	0	0	-4936
504	10	0	0	-4946
505	10	0	0	-4956
506	10	0	0	-4966
507	10	0	0	-4976
508	10	0	0	-4986
509	10	0	0	-4996
510	10	0	0	-5006
511	10	0	0	-5016
512	10	0	0	-5026
513	10	0	0	-5036
514	10	0	0	-5046
515	10	0	0	-5056
516	10	0	0	-5066
517	10	0	0	-5076
518	10	0	0	-5086
519	10	0	0	-5096
520	10	0	0	-5106
521	10	0	0	-5116
522	10	0	0	-5126
523	10	0	0	-5136
524	10	0	0	-5146
525	10	0	0	-5156
526	10	0	0	-5166
527	10	0	0	-5176
528	10	0	0	-5186
529	10	0	0	-5196
530	10	0	0	-5206
531	10	0	0	-5216
532	10	0	0	-5226
533	10	0	0	-5236
534	10	0	0	-5246
535	10	0	0	-5256
536	10	0	0	-5266
537	10	0	0	-5276
538	10	0	0	-5286
539	10	0	0	-5296
540	10	0	0	-5306
541	10	0	0	-5316
542	10	0	0	-5326
543	10	0	0	-5336
544	10	0	0	-5346
545	10	0	0	-5356
546	10	0	0	-5366
547	10	0	0	-5376
548	10	0	0	-5386
549	10	0	0	-5396
550	10	0	0	-5406
551	10	0	0	-5416
552	10	0	0	-5426
553	10	0	0	-5436
554	10	0	0	-5446
555	10	0	0	-5456
556	10	0	0	-5466
557	10	0	0	-5476
558	10	0	0	-5486
559	10	0	0	-5496
560	10	0	0	-5506
561	10	0	0	-5516
562	10	0	0	-5526
563	10	0	0	-5536
564	10	0	0	-5546
565	10	0	0	-5556
566	10	0	0	-5566
567	10	0	0	-5576
568	10	0	0	-5586
569	10	0	0	-5596
570	10	0	0	-5606
571	10	0	0	-5616
572	10	0	0	-5626
573	10	0	0	-5636
574	10	0	0	-5646
575	10	0	0	-5656
576	10	0	0	-5666
577	10	0	0	-5676
578	10	0	0	-5686
579	10	0	0	-5696
580	10	0	0	-5706
581	10	0	0	-5716
582	10	0	0	-5726
583	10	0	0	-5736
584	10	0	0	-5746
585	10	0	0	-5756
586	10	0	0	-5766
587	10	0	0	-5776
588	10	0	0	-5786
589	10	0	0	-5796
590	10	0	0	-5806
591	10	0	0	-5816
592	10	0	0	-5826
593	10	0	0	-5836
594	10	0	0	-5846
595	10	0	0	-5856
596	10	0	0	-5866
597	10	0	0	-5876
598	10	0	0	-5886
599	10	0	0	-5896
600	10	0	0	-5906
601	10	0	0	-5916
602	10	0	0	-5926
603	10	0	0	-5936
604	10	0	0	-5946
605	10	0	0	-5956
606	10	0	0	-5966
607	10	0	0	-5976
608	10	0	0	-5986
609	10	0	0	-5996
610	10	0	0	-6006
611	10	0	0	-6016
612	10	0	0	-6026
613	10	0	0	-6036
614	10	0	0	-6046
615	10	0	0	-6056
616	10	0	0	-6066
617	10	0	0	-6076
618	10	0	0	-6086
619	10	0	0	-6096
620	10	0	0	-6106
621	10	0	0	-6116
622	10	0	0	-6126
623	10	0	0	-6136
624	10	0	0	-6146
625	10	0	0	-6156
626	10	0	0	-6166
627	10	0	0	-6176
628	10	0	0	-6186
629	10	0	0	-6196
630	10	0	0	-6206
631	10	0	0	-6216
632	10	0	0	-6226
633	10	0	0	-6236
634	10	0	0	-6246
635	10	0	0	-6256
636	10	0	0	-6266
637	10	0	0	-6276
638	10	0	0	-6286
639	10	0	0	-6296
640	10	0	0	-6306
641	10	0	0	-6316
642	10	0	0	-6326
643	10	0	0	-6336
644	10	0	0	-6346
645	10	0	0	-6356
646	10	0	0	-6366
647	10	0	0	-6376
648	10	0	0	-6386
649	10	0	0	-6396
650	10	0	0	-6406
651	10	0	0	-6416
652	10	0	0	-6426
653	10	0	0	-6436
654	10	0	0	-6446
655	10	0	0	-6456
656	10	0	0	-6466
657	10	0	0	-6476
658	10	0	0	-6486
659	10	0	0	-6496
660	10	0	0	-6506
661	10	0	0	-6516
662	10	0	0	-6526
663	10	0	0	-6536
664	10	0	0	-6546
665	10	0	0	-6556
666	10	0	0	-6566
667	10	0	0	-6576
668	10	0	0	-6586
669	10	0	0	-6596
670	10	0	0	-6606
671	10	0	0	-6616
672	10	0	0	-6626
673	10	0	0	-6636
674	10	0	0	-6646
675	10	0	0	-6656
676	10	0	0	-6666
677	10	0	0	-6676
678	10	0	0	-6686
679	10	0	0	-6696
680	10	0	0	-6706
681	10	0	0	-6716
682	10	0	0	-6726
683	10	0	0	-6736
684	10	0	0	-6746
685	10	0	0	-6756
686	10	0	0	-6766
687	10	0	0	-6776
688	10	0	0	-6786
689	10	0	0	-6796
690	10	0	0	-6806
691	10	0	0	-6816
692	10	0	0	-6826
693	10	0	0	-6836
694	10	0	0	-6846
695	10	0	0	-6856
696	10	0	0	-6866
697	10	0	0	-6876
698	10	0	0	-6886
699	10	0	0	-6896
700	10	0	0	-6906
701	10	0	0	-6916
702	10	0	0	-6926
703	10	0	0	-6936
704	10	0	0	-6946
705	10	0	0	-6956
706	10	0	0	-6966
707	10	0	0	-6976
708	10	0	0	-6986
709	10	0	0	-6996
710	10	0	0	-7006
711	10	0	0	-7016
712	10	0	0	-7026
713	10	0	0	-7036
714	10	0	0	-7046
715	10	0	0	-7056
716	10	0	0	-7066
717	10	0	0	-7076
718	10	0	0	-7086
719	10	0	0	-7096
720	10	0	0	-7106
721	10	0	0	-7116
722	10	0	0	-7126
723	10	0	0	-7136
724	10	0	0	-7146
725	10	0	0	-7156
726	10	0	0	-7166
727	10	0	0	-7176
728	10	0	0	-7186
729	10	0	0	-7196
730	10	0	0	-7206
731	10	0	0	-7216
732	10	0	0	-7226
733	10	0	0	-7236
734	10	0	0	-7246
735	10	0	0	-7256
736	10	0	0	-7266
737	10	0	0	-7276
738	10	0	0	-7286
739	10	0	0	-7296
740	10	0	0	-7306
741	10	0	0	-7316
742	10	0	0	-7326
743	10	0	0	-7336
744	10	0	0	-7346
745	10	0	0	-7356
746	10	0	0	-7366
747	10	0	0	-7376
748	10	0	0	-7386
749	10	0	0	-7396
750	10	0	0	-7406
751	10	0	0	-7416
752	10	0	0	-7426
753	10	0	0	-7436
754	10	0	0	-7446
755	10	0	0	-7456
756	10	0	0	-7466
757	10	0	0	-7476
758	10	0	0	-7486
759	10	0	0	-7496
760	10	0	0	-7506
761	10	0	0	-7516
762	10	0	0	-7526
763	10	0	0	-7536
764	10	0	0	-7546
765	10	0	0	-7556
766	10	0	0	-7566
767	10	0	0	-7576
768	10	0	0	-7586
769	10	0	0	-7596
770	10	0	0	-7606
771	10	0	0	-7616
772	10	0	0	-7626
773	10	0	0	-7636
774	10	0	0	-7646
775	10	0	0	-7656
776	10	0	0	-7666
777	10	0	0	-7676
778	10	0	0	-7686
779	10	0	0	-7696
780	10	0	0	-7706
781	10	0	0	-7716
782	10	0	0	-7726
783	10	0	0	-7736
784	10	0	0	-7746
785	10	0	0	-7756
786	10	0	0	-7766
787	10	0	0	-7776
788	10	0	0	-7786
789	10	0	0	-7796
790	10	0	0	-7806
791	10	0	0	-7816
792	10	0	0	-7826
793	10	0	0	-7836
794	10	0	0	-7846
795	10	0	0	-7856
796	10	0	0	-7866
797	10	0	0	-7876
798	10	0	0	-7886
799	10	0	0	-7896
800	10	0	0	-7906
801	10	0	0	-7916
802	10	0	0	-7926
803	10	0	0	-7936
804	10	0	0	-7946
805	10	0	0	-7956
806	10	0	0	-7966
807	10	0	0	-7976
808	10	0	0	-7986
809	10	0	0	-7996
810	10	0	0	-8006
811	10	0	0	-8016
812	10	0	0	-8026
813	10	0	0	-8036
814	10	0	0	-8046
815	10	0	0	-8056
816	10	0	0	-8066
817	10	0	0	-8076
818	10	0	0	-8086
819	10	0	0	-8096
820	10	0	0	-8106
821	10	0	0	-8116
822	10	0	0	-8126
823	10	0	0	-8136
824	10	0	0	-8146
825	10	0	0	-8156
826	10	0	0	-8166
827	10	0	0	-8176
828	10	0	0	-8186
829	10	0	0	-8196
830	10	0	0	-8206
831	10	0	0	-8216
832	10	0	0	-8226
833	10	0	0	-8236
834	10	0	0	-8246
835	10	0	0	-8256
836	10	0	0	-8266
837	10	0	0	-8276
838	10	0	0	-8286
839	10	0	0	-8296
840	10	0	0	-8306
841	10	0	0	-8316
842	10	0	0	-8326
843	10	0	0	-8336
844	10	0	0	-8346
845	10	0	0	-8356
846	10	0	0	-8366
847	10	0	0	-8376
848	10	0	0	-8386
849	10	0	0	-8396
850	10	0	0	-8406
851	10	0	0	-8416
852	10	0	0	-8426
853	10	0	0	-8436
854	10	0	0	-8446
855	10	0	0	-8456
856	10	0	0	-8466
857	10	0	0	-8476
858	10	0	0	-8486
859	10	0	0	-8496
860	10	0	0	-8506
861	10	0	0	-8516
862	10	0	0	-8526
863	10	0	0	-8536
864	10	0	0	-8546
865	10	0	0	-8556
866	10	0	0	-8566
867	10	0	0	-8576
868	10	0	0	-8586
869	10	0	0	-8596
870	10	0	0	-8606
871	10	0	0	-8616
872	10	0	0	-8626
873	10	0	0	-8636
874	10	0	0	-8646
875	10	0	0	-8656
876	10	0	0	-8666
877	10	0	0	-8676
878	10	0	0	-8686
879	10	0	0	-8696
880	10	0	0	-8706
881	10	0	0	-8716
882	10	0	0	-8726
883	10	0	0	-8736
884	10	0	0	-8746
885	10	0	0	-8756
886	10	0	0	-8766
887	10	0	0	-8776
888	10	0	0	-8786
889	10	0	0	-8796
890	10	0	0	-8806
891	10	0	0	-8816
892	10	0	0	-8826
893	10	0	0	-8836
894	10	0	0	-8846
895	10	0	0	-8856
896	10	0	0	-8866
897	10	0	0	-8876
898	10	0	0	-8886
899	10	0	0	-8896
900	10	0	0	-8906
901	10	0	0	-8916
902	10	0	0	-8926
903	10	0	0	-8936
904	10	0	0	-8946
905	10	0	0	-8956
906	10	0	0	-8966
907	10	0	0	-8976
908	10	0	0	-8986
909	10	0	0	-8996
910	10	0	0	-9006
911	10	0	0	-9016
912	10	0	0	-9026
913	10	0	0	-9036
914	10	0	0	-9046
915	10	0	0	-9056
916	10	0	0	-9066
917	10	0	0	-9076
918	10	0	0	-9086
919	10	0	0	-9096
920	10	0	0	-9106
921	10	0	0	-9116
922	10	0	0	-9126
923	10	0	0	-9136
924	10	0	0	-9146
925	10	0	0	-9156
926	10	0	0	-9166
927	10	0	0	-9176
928	10	0	0	-9186
929	10	0	0	-9196
930	10	0	0	-9206
931	10	0	0	-9216
932	10	0	0	-9226
933	10	0	0	-9236
934	10	0	0	-9246
935	10	0	0	-9256
936	10	0	0	-9266
937	10	0	0	-9276
938	10	0	0	-9286
939	10	0	0	-9296
940	10	0	0	-9306
941	10	0	0	-9316
942	10	0	0	-9326
943	10	0	0	-9336
944	10	0	0	-9346
945	10	0	0	-9356
946	10	0	0	-9366
947	10	0	0	-9376
948	10	0	0	-9386
949	10	0	0	-9396
950	10	0	0	-9406
951	10	0	0	-9416
952	10	0	0	-9426
953	10	0	0	-9436
954	10	0	0	-9446
955	10	0	0	-9456
956	10	0	0	-9466
957	10	0	0	-9476
958	10	0	0	-9486
959	10	0	0	-9496
960	10	0	0	-9506
961	10	0	0	-9516
962	10	0	0	-9526
963	10	0	0	-9536
964	10	0	0	-9546
965	10	0	0	-9556
966	10	0	0	-9566
967	10	0	0	-9576
968	10	0	0	-9586
969	10	0	0	-9596
970	10	0	0	-9606
971	10	0	0	-9616
972	10	0	0	-9626
973	10	0	0	-9636
974	10	0	0	-9646
975	10	0	0	-9656
976	10	0	0	-9666
977	10	0	0	-9676
978	10	0	0	-9686
979	10	0	0	-9696
980	10	0	0	-9706
981	10	0	0	-9716
982	10	0	0	-9726
983	10	0	0	-9736
984	10	0	0	-9746
985	10	0	0	-9756
986	10	0	0	-9766
987	10	0	0	-9776
988	10	0	0	-9786
989	10	0	0	-9796
990	10	0	0	-9806
991	10	0	0	-9816
992	10	0	0	-9826
993	10	0	0	-9836
994	10	0	0	-9846
995	10	0	0	-9856
996	10	0	0	-9866
997	10	0	0	-9876
998	10	0	0	-9886
999	10	0	0	-9896
1000	10	0	0	-9906
1001	10	0	0	-9916
1002	10	0	0	-9926
1003	10	0	0	-9936
1004	10	0	0	-9946
1005	10	0	0	-9956
1006	10	0	0	-9966
1007	10	0	0	-9976
1008	10	0	0	-9986
1009	10	0	0	-9996
1010	10	0	0	-10006
1011	10	0	0	-10016
1012	10	0	0	-10026
1013	10	0	0	-10036
1014	10	0	0	-10046
1015	10	0	0	-10056
1016	10	0	0	-10066
1017	10	0	0	-10076
1018	10	0	0	-10086
1019	10	0	0	-10096
1020	10	0	0	-10106
1021	10	0	0	-10116
1022	10	0	0	-10126
1023	10	0	0	-10136
1024	10	0	0	-10146
1025	10	0	0	-10156
1026	10	0	0	-10166
1027	10	0	0	-10176
1028	10	0	0	-10186
1029	10	0	0	-10196
1030	10	0	0	-10206
1031	10	0	0	-10216
1032	10	0	0	-10226
1033	10	0	0	-10236
1034	10	0	0	-10246
1035	10	0	0	-10256
1036	10	0	0	-10266
1037	10	0	0	-10276
1038	10	0	0	-10286
1039	10	0	0	-10296
1040	10	0	0	-10306
1041	10	0	0	-10316
1042	10	0	0	-10326
1043	10	0	0	-10336
1044	10	0	0	-10346
1045	10	0	0	-10356
1046	10	0	0	-10366
1047	10	0	0	-10376
1048	10	0	0	-10386
1049	10	0	0	-10396
1050	10	0	0	-10406
1051	10	0	0	-10416
1052	10	0	0	-10426
1053	10	0	0	-10436
1054	10	0	0	-10446
1055	10	0	0	-10456
1056	10	0	0	-10466
1057	10	0	0	-10476
1058	10	0	0	-10486
1059	10	0	0	-10496
1060	10	0	0	-10506
1061	10	0	0	-10516
1062	10	0	0	-10526
1063	10	0	0	-10536
1064	10	0	0	-10546
1065	10	0	0	-10556
1066	10	0	0	-10566
1067	10	0	0	-10576
1068	10	0	0	-10586
1069	10	0	0	-10596
1070	10	0	0	-10606
1071	10	0	0	-10616
1072	10	0	0	-10626
1073	10	0	0	-10636
1074	10	0	0	-10646
1075	10	0	0	-10656
1076	10	0	0	-10666
1077	10	0	0	-10676
1078	10	0	0	-10686
1079	10	0	0	-10696
1080	10	0	0	-10706
1081	10	0	0	-10716
1082	10	0	0	-10726
1083	10	0	0	-10736
1084	10	0	0	-10746
1085	10	0	0	-10756
1086	10	0	0	-10766
1087	10	0	0	-10776
1088	10	0	0	-10786
1089	10	0	0	-10796
1090	10	0	0	-10806
1091	10	0	0	-10816
1092	10	0	0	-10826
1093	10	0	0	-10836
1094	10	0	0	-10846
1095	10	0	0	-10856
1096	10	0	0	-10866
1097	10	0	0	-10876
1098	10	0	0	-10886
1099	10	0	0	-10896
1100	10	0	0	-10906
1101	10	0	0	-10916
1102	10	0	0	-10926
1103	10	0	0	-10936
1104	10	0	0	-10946
1105	10	0	0	-10956
1106	10	0	0	-10966
1107	10	0	0	-10976
1108	10	0	0	-10986
1109	10	0	0	-10996
1110	10	0	0	-11006
1111	10	0	0	-11016
1112	10	0	0	-11026
1113	10	0	0	-11036
1114	10	0	0	-11046
1115	10	0	0	-11056
1116	10	0	0	-11066
1117	10	0	0	-11076
1118	10	0	0	-11086
1119	10	0	0	-11096
1120	10	0	0	-11106
1121	10	0	0	-11116
1122	10	0	0	-11126
1123	10	0	0	-11136
1124	10	0	0	-11146
1125	10	0	0	-11156
1126	10	0	0	-11166
1127	10	0	0	-11176
1128	10	0	0	-11186
1129	10	0	0	-11196
1130	10	0	0	-11206
1131	10	0	0	-11216
1132	10	0	0	-11226
1133	10	0	0	-11236
1134	10	0	0	-11246
1135	10	0	0	-11256
1136	10	0	0	-11266
1137	10	0	0	-11276
1138	10	0	0	-11286
1139	10	0	0	-11296
1140	10	0	0	-11306
1141	10	0	0	-11316
1142	10	0	0	-11326
1143	10	0	0	-11336
1144	10	0	0	-11346
1145	10	0	0	-11356
1146	10	0	0	-11366
1147	10	0	0	-11376
1148	10	0	0	-11386
1149	10	0	0	-11396
1150	10	0	0	-11406
1151	10	0	0	-11416
1152	10	0	0	-11426
1153	10	0	0	-11436
1154	10	0	0	-11446
1155	10	0	0	-11456
1156	10	0	0	-11466
1157	10	0	0	-11476
1158	10	0	0	-11486
